str_fixture_id,str_outlet,viewership,str_competition_name,str_sport_name,str_fixture_date,ttl_customers,engagement_rate
2wpb0j0iuz38bx5gc4rd5ene,japan,116938,Primera División,Soccer,2020-06-13,1494353.0,0.07825326412166335
3uf9asn7s1y1cewez4yx4ozmy,italy,148256,Serie A,Soccer,2020-01-19,1882879.0,0.07873899491151583
8hyw0s6beq55egztl953ywmz6,dach,57557,FIS Ski Jumping World Cup,Ski Jumping,2020-02-08,2462422.0,0.023374141394123346
uz7hld78fenmwgmzqc3cup2i,italy,12641,Serie B,Soccer,2020-07-03,1742528.0,0.007254402798692474
696bgcsoqvv0phyrii2tc9kyy,italy,14873,Ligue 1,Soccer,2019-11-02,1879086.0,0.007915018258876923
ace7p9jlkvbk6rrt47z47asq,italy,126497,Primera División,Soccer,2020-06-30,1720779.0,0.07351147358260415
7bxoinh8g7myfexy55zkehkyy,japan,4866,B1 League,Basketball,2019-10-19,1867053.0,0.002606246314378863
x8u3tyx4ydscp254oolks5ey,japan,11170,J3 League,Soccer,2020-07-11,1866091.0,0.00598577454154165
64usow7bfwebsyvdqsxczhzsa,japan,11238,Ligue 1,Soccer,2019-10-19,1867053.0,0.0060191114017652415
bvstabqeanssa9vzsxpldxw8a,dach,18894,Championship,Soccer,2020-06-27,2128318.0,0.008877432789648915
1ch4dodzgwds35ubh28v9g66d,dach,101250,Premier League Darts,Darts,2020-02-06,2461515.0,0.041133204550855874
tplchqn3embhpk89sqf97z3e,italy,12337,Serie B,Soccer,2020-06-29,1718689.0,0.007178145668006254
4g01w1p2z0bqom3gozl371nxm,japan,3818,Serie A,Soccer,2020-07-23,1875277.0,0.0020359658866396803
34omzi25w2p4lrfsyr13xgz1m,japan,22915,J2 League,Soccer,2020-07-15,1873035.0,0.01223415472748774
